[TRACE] 23:02:40:510 nivel4/(10013:10013): Personaje a mover &, posicionX 14 posicionY 1
[TRACE] 23:02:40:510 nivel4/(10013:10013): Movimiento personaje: x: 14, y: 1

[TRACE] 23:02:40:611 nivel4/(10013:10013): Personaje a mover &, posicionX 15 posicionY 1
[TRACE] 23:02:40:611 nivel4/(10013:10013): Movimiento personaje: x: 15, y: 1

[TRACE] 23:02:40:712 nivel4/(10013:10013): Personaje a mover &, posicionX 16 posicionY 1
[TRACE] 23:02:40:712 nivel4/(10013:10013): Movimiento personaje: x: 16, y: 1

[TRACE] 23:02:42:12 nivel4/(10013:10013): Personaje a mover #, posicionX 20 posicionY 1
[TRACE] 23:02:42:12 nivel4/(10013:10013): Movimiento personaje: x: 20, y: 1

[TRACE] 23:02:42:114 nivel4/(10013:10013): Personaje a mover #, posicionX 21 posicionY 1
[TRACE] 23:02:42:114 nivel4/(10013:10013): Movimiento personaje: x: 21, y: 1

[TRACE] 23:02:42:215 nivel4/(10013:10013): Personaje a mover #, posicionX 22 posicionY 1
[TRACE] 23:02:42:215 nivel4/(10013:10013): Movimiento personaje: x: 22, y: 1

[TRACE] 23:02:43:515 nivel4/(10013:10013): Personaje a mover &, posicionX 17 posicionY 1
[TRACE] 23:02:43:515 nivel4/(10013:10013): Movimiento personaje: x: 17, y: 1

[TRACE] 23:02:43:616 nivel4/(10013:10013): Personaje a mover &, posicionX 18 posicionY 1
[TRACE] 23:02:43:616 nivel4/(10013:10013): Movimiento personaje: x: 18, y: 1

[TRACE] 23:02:43:717 nivel4/(10013:10013): Personaje a mover &, posicionX 19 posicionY 1
[TRACE] 23:02:43:717 nivel4/(10013:10013): Movimiento personaje: x: 19, y: 1

[TRACE] 23:02:45:19 nivel4/(10013:10013): Personaje a mover #, posicionX 23 posicionY 1
[TRACE] 23:02:45:19 nivel4/(10013:10013): Movimiento personaje: x: 23, y: 1

[TRACE] 23:02:45:120 nivel4/(10013:10013): Personaje a mover #, posicionX 24 posicionY 1
[TRACE] 23:02:45:120 nivel4/(10013:10013): Movimiento personaje: x: 24, y: 1

[TRACE] 23:02:45:221 nivel4/(10013:10013): Personaje a mover #, posicionX 25 posicionY 1
[TRACE] 23:02:45:221 nivel4/(10013:10013): Movimiento personaje: x: 25, y: 1

[TRACE] 23:02:46:521 nivel4/(10013:10013): Personaje a mover &, posicionX 20 posicionY 1
[TRACE] 23:02:46:521 nivel4/(10013:10013): Movimiento personaje: x: 20, y: 1

[TRACE] 23:02:46:622 nivel4/(10013:10013): Personaje a mover &, posicionX 21 posicionY 1
[TRACE] 23:02:46:622 nivel4/(10013:10013): Movimiento personaje: x: 21, y: 1

[TRACE] 23:02:46:724 nivel4/(10013:10013): Personaje a mover &, posicionX 22 posicionY 1
[TRACE] 23:02:46:724 nivel4/(10013:10013): Movimiento personaje: x: 22, y: 1

[TRACE] 23:02:48:22 nivel4/(10013:10013): Personaje a mover #, posicionX 26 posicionY 1
[TRACE] 23:02:48:22 nivel4/(10013:10013): Movimiento personaje: x: 26, y: 1

[TRACE] 23:02:48:123 nivel4/(10013:10013): Personaje a mover #, posicionX 27 posicionY 1
[TRACE] 23:02:48:123 nivel4/(10013:10013): Movimiento personaje: x: 27, y: 1

[TRACE] 23:02:48:224 nivel4/(10013:10013): Personaje a mover #, posicionX 28 posicionY 1
[TRACE] 23:02:48:224 nivel4/(10013:10013): Movimiento personaje: x: 28, y: 1

[TRACE] 23:02:49:524 nivel4/(10013:10013): Personaje a mover &, posicionX 23 posicionY 1
[TRACE] 23:02:49:524 nivel4/(10013:10013): Movimiento personaje: x: 23, y: 1

