[TRACE] 23:04:02:639 nivel3/(10010:10010): Personaje a mover @, posicionX 20 posicionY 10
[TRACE] 23:04:02:639 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 10

[TRACE] 23:04:02:741 nivel3/(10010:10010): Personaje a mover @, posicionX 20 posicionY 11
[TRACE] 23:04:02:741 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 11

[TRACE] 23:04:02:844 nivel3/(10010:10010): Personaje a mover @, posicionX 20 posicionY 12
[TRACE] 23:04:02:844 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 12

[TRACE] 23:04:04:644 nivel3/(10010:10010): Personaje a mover @, posicionX 20 posicionY 13
[TRACE] 23:04:04:644 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 13

[TRACE] 23:04:04:745 nivel3/(10010:10010): Personaje a mover @, posicionX 20 posicionY 14
[TRACE] 23:04:04:745 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 14

[TRACE] 23:04:04:845 nivel3/(10010:10010): Personaje a mover @, posicionX 20 posicionY 15
[TRACE] 23:04:04:846 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 15

[TRACE] 23:04:06:546 nivel3/(10010:10010): Recurso a asignar T
[TRACE] 23:04:08:549 nivel3/(10010:10010): Pedido posicion recurso: R
[TRACE] 23:04:08:632 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:04:08:650 nivel3/(10010:10010): Personaje a mover @, posicionX 19 posicionY 15
[TRACE] 23:04:08:650 nivel3/(10010:10010): Movimiento personaje: x: 19, y: 15

[TRACE] 23:04:08:752 nivel3/(10010:10010): Personaje a mover @, posicionX 18 posicionY 15
[TRACE] 23:04:08:752 nivel3/(10010:10010): Movimiento personaje: x: 18, y: 15

[TRACE] 23:04:08:854 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 15
[TRACE] 23:04:08:854 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 15

[TRACE] 23:04:10:652 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 14
