[TRACE] 23:02:38:109 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 15
[TRACE] 23:02:38:109 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 15

[TRACE] 23:02:38:110 nivel2/(10007:10007): Recurso a asignar F
[TRACE] 23:02:39:407 nivel2/(10007:10007): Pedido posicion recurso: C
[TRACE] 23:02:39:509 nivel2/(10007:10007): Personaje a mover *, posicionX 20 posicionY 15
[TRACE] 23:02:39:509 nivel2/(10007:10007): Movimiento personaje: x: 20, y: 15

[TRACE] 23:02:39:610 nivel2/(10007:10007): Personaje a mover *, posicionX 21 posicionY 15
[TRACE] 23:02:39:610 nivel2/(10007:10007): Movimiento personaje: x: 21, y: 15

[TRACE] 23:02:39:712 nivel2/(10007:10007): Personaje a mover *, posicionX 22 posicionY 15
[TRACE] 23:02:39:712 nivel2/(10007:10007): Movimiento personaje: x: 22, y: 15

[TRACE] 23:02:41:10 nivel2/(10007:10007): Personaje a mover *, posicionX 23 posicionY 15
[TRACE] 23:02:41:10 nivel2/(10007:10007): Movimiento personaje: x: 23, y: 15

[TRACE] 23:02:41:112 nivel2/(10007:10007): Personaje a mover *, posicionX 24 posicionY 15
[TRACE] 23:02:41:112 nivel2/(10007:10007): Movimiento personaje: x: 24, y: 15

[TRACE] 23:02:41:213 nivel2/(10007:10007): Personaje a mover *, posicionX 25 posicionY 15
[TRACE] 23:02:41:213 nivel2/(10007:10007): Movimiento personaje: x: 25, y: 15

[TRACE] 23:02:42:514 nivel2/(10007:10007): Personaje a mover *, posicionX 26 posicionY 15
[TRACE] 23:02:42:514 nivel2/(10007:10007): Movimiento personaje: x: 26, y: 15

[TRACE] 23:02:42:615 nivel2/(10007:10007): Personaje a mover *, posicionX 27 posicionY 15
[TRACE] 23:02:42:615 nivel2/(10007:10007): Movimiento personaje: x: 27, y: 15

[TRACE] 23:02:42:717 nivel2/(10007:10007): Personaje a mover *, posicionX 28 posicionY 15
[TRACE] 23:02:42:717 nivel2/(10007:10007): Movimiento personaje: x: 28, y: 15

[TRACE] 23:02:44:17 nivel2/(10007:10007): Personaje a mover *, posicionX 29 posicionY 15
[TRACE] 23:02:44:17 nivel2/(10007:10007): Movimiento personaje: x: 29, y: 15

[TRACE] 23:02:44:118 nivel2/(10007:10007): Personaje a mover *, posicionX 30 posicionY 15
[TRACE] 23:02:44:118 nivel2/(10007:10007): Movimiento personaje: x: 30, y: 15

[TRACE] 23:02:44:218 nivel2/(10007:10007): Personaje a mover *, posicionX 31 posicionY 15
[TRACE] 23:02:44:218 nivel2/(10007:10007): Movimiento personaje: x: 31, y: 15

[TRACE] 23:02:45:520 nivel2/(10007:10007): Personaje a mover *, posicionX 32 posicionY 15
[TRACE] 23:02:45:520 nivel2/(10007:10007): Movimiento personaje: x: 32, y: 15

[TRACE] 23:02:45:621 nivel2/(10007:10007): Personaje a mover *, posicionX 33 posicionY 15
[TRACE] 23:02:45:621 nivel2/(10007:10007): Movimiento personaje: x: 33, y: 15

[TRACE] 23:02:45:722 nivel2/(10007:10007): Personaje a mover *, posicionX 34 posicionY 15
[TRACE] 23:02:45:722 nivel2/(10007:10007): Movimiento personaje: x: 34, y: 15

[TRACE] 23:02:46:940 nivel2/(10007:10008): Deadlock check started.
[TRACE] 23:02:47:23 nivel2/(10007:10007): Personaje a mover *, posicionX 35 posicionY 15
[TRACE] 23:02:47:23 nivel2/(10007:10007): Movimiento personaje: x: 35, y: 15

[TRACE] 23:02:47:123 nivel2/(10007:10007): Personaje a mover *, posicionX 36 posicionY 15
[TRACE] 23:02:47:123 nivel2/(10007:10007): Movimiento personaje: x: 36, y: 15

[TRACE] 23:02:47:224 nivel2/(10007:10007): Personaje a mover *, posicionX 37 posicionY 15
[TRACE] 23:02:47:224 nivel2/(10007:10007): Movimiento personaje: x: 37, y: 15

[TRACE] 23:02:48:523 nivel2/(10007:10007): Personaje a mover *, posicionX 38 posicionY 15
[TRACE] 23:02:48:523 nivel2/(10007:10007): Movimiento personaje: x: 38, y: 15

[TRACE] 23:02:48:623 nivel2/(10007:10007): Personaje a mover *, posicionX 39 posicionY 15
[TRACE] 23:02:48:624 nivel2/(10007:10007): Movimiento personaje: x: 39, y: 15

[TRACE] 23:02:48:724 nivel2/(10007:10007): Personaje a mover *, posicionX 40 posicionY 15
[TRACE] 23:02:48:724 nivel2/(10007:10007): Movimiento personaje: x: 40, y: 15

[TRACE] 23:02:50:25 nivel2/(10007:10007): Personaje a mover *, posicionX 41 posicionY 15
[TRACE] 23:02:50:25 nivel2/(10007:10007): Movimiento personaje: x: 41, y: 15

[TRACE] 23:02:50:127 nivel2/(10007:10007): Personaje a mover *, posicionX 42 posicionY 15
[TRACE] 23:02:50:127 nivel2/(10007:10007): Movimiento personaje: x: 42, y: 15

[TRACE] 23:02:50:229 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 15
[TRACE] 23:02:50:229 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 15

[TRACE] 23:02:51:528 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 16
[TRACE] 23:02:51:528 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 16

[TRACE] 23:02:51:629 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 17
[TRACE] 23:02:51:629 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 17

[TRACE] 23:02:51:730 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 18
[TRACE] 23:02:51:730 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 18

[TRACE] 23:02:53:32 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 19
[TRACE] 23:02:53:32 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 19

[TRACE] 23:02:53:33 nivel2/(10007:10007): Recurso a asignar C
[TRACE] 23:02:54:433 nivel2/(10007:10007): Pedido posicion recurso: F
[TRACE] 23:02:54:534 nivel2/(10007:10007): Personaje a mover *, posicionX 42 posicionY 19
[TRACE] 23:02:54:534 nivel2/(10007:10007): Movimiento personaje: x: 42, y: 19

[TRACE] 23:02:54:635 nivel2/(10007:10007): Personaje a mover *, posicionX 41 posicionY 19
[TRACE] 23:02:54:635 nivel2/(10007:10007): Movimiento personaje: x: 41, y: 19

[TRACE] 23:02:54:736 nivel2/(10007:10007): Personaje a mover *, posicionX 40 posicionY 19
[TRACE] 23:02:54:736 nivel2/(10007:10007): Movimiento personaje: x: 40, y: 19

[TRACE] 23:02:56:36 nivel2/(10007:10007): Personaje a mover *, posicionX 39 posicionY 19
[TRACE] 23:02:56:36 nivel2/(10007:10007): Movimiento personaje: x: 39, y: 19

[TRACE] 23:02:56:137 nivel2/(10007:10007): Personaje a mover *, posicionX 38 posicionY 19
[TRACE] 23:02:56:137 nivel2/(10007:10007): Movimiento personaje: x: 38, y: 19

[TRACE] 23:02:56:238 nivel2/(10007:10007): Personaje a mover *, posicionX 37 posicionY 19
[TRACE] 23:02:56:238 nivel2/(10007:10007): Movimiento personaje: x: 37, y: 19

[TRACE] 23:02:56:940 nivel2/(10007:10008): Deadlock check started.
[TRACE] 23:02:57:540 nivel2/(10007:10007): Personaje a mover *, posicionX 36 posicionY 19
[TRACE] 23:02:57:540 nivel2/(10007:10007): Movimiento personaje: x: 36, y: 19

[TRACE] 23:02:57:642 nivel2/(10007:10007): Personaje a mover *, posicionX 35 posicionY 19
[TRACE] 23:02:57:642 nivel2/(10007:10007): Movimiento personaje: x: 35, y: 19

[TRACE] 23:02:57:743 nivel2/(10007:10007): Personaje a mover *, posicionX 34 posicionY 19
[TRACE] 23:02:57:744 nivel2/(10007:10007): Movimiento personaje: x: 34, y: 19

[TRACE] 23:02:59:42 nivel2/(10007:10007): Personaje a mover *, posicionX 33 posicionY 19
[TRACE] 23:02:59:42 nivel2/(10007:10007): Movimiento personaje: x: 33, y: 19

[TRACE] 23:02:59:144 nivel2/(10007:10007): Personaje a mover *, posicionX 32 posicionY 19
[TRACE] 23:02:59:144 nivel2/(10007:10007): Movimiento personaje: x: 32, y: 19

[TRACE] 23:02:59:245 nivel2/(10007:10007): Personaje a mover *, posicionX 31 posicionY 19
[TRACE] 23:02:59:245 nivel2/(10007:10007): Movimiento personaje: x: 31, y: 19

[TRACE] 23:03:00:546 nivel2/(10007:10007): Personaje a mover *, posicionX 30 posicionY 19
[TRACE] 23:03:00:546 nivel2/(10007:10007): Movimiento personaje: x: 30, y: 19

[TRACE] 23:03:00:648 nivel2/(10007:10007): Personaje a mover *, posicionX 29 posicionY 19
[TRACE] 23:03:00:648 nivel2/(10007:10007): Movimiento personaje: x: 29, y: 19

